2 700 390 42 42 0
3 1700 390 42 42 0
2 1742 390 42 42 0
2 2700 390 42 42 0
2 2742 390 42 42 0
2 3700 390 42 42 0
2 3742 390 42 42 0
1 4700 306 42 42 0
1 4742 306 42 42 0
2 4700 348 42 42 180
2 4742 348 42 42 180
2 5700 264 42 42 270
2 5700 306 42 42 270
1 5742 264 42 42 0
1 5742 306 42 42 0
2 5868 390 42 42 0
2 6700 390 42 42 0
6 6742 390 42 42 0
1 6742 348 42 42 0
6 6910 390 42 42 0
6 6910 348 42 42 0
1 6910 306 42 42 0
0 7078 264 42 42 180
2 7078 222 42 42 0
4 7700 390 42 42 0
3 7733 390 42 42 0
2 8700 390 42 42 0
1 8742 390 42 42 0
1 8784 390 42 42 0
1 8826 390 42 42 0
1 9700 264 42 42 0
2 9700 306 42 42 180
1 10700 390 42 42 0
1 10700 348 42 42 0
18 10700 263 42 85 0
1 11700 200 42 42 0
1 11700 242 42 42 0
1 11700 284 42 42 0
1 12700 100 42 42 0
1 12700 142 42 42 0
1 12700 184 42 42 0
1 13700 390 42 42 0
1 13700 348 42 42 0
1 13700 306 42 42 0
1 14700 0 42 42 0
1 14700 42 42 42 0
1 14700 84 42 42 0
1 15700 0 42 42 0
1 15700 42 42 42 0
1 15700 390 42 42 0
1 15700 348 42 42 0
2 16700 185 42 42 270
2 16742 143 42 42 0
1 16742 185 42 42 0
2 16742 227 42 42 180
2 16784 185 42 42 90
1 17700 390 42 42 0
2 17700 348 42 42 0
1 17700 0 42 42 0
2 17700 42 42 42 180
1 18700 390 42 42 0
1 18700 348 42 42 0
2 18700 306 42 42 0
1 18700 0 42 42 0
1 18700 42 42 42 0
2 18700 84 42 42 180
19 20000 173 42 85 0
1 20000 390 42 42 0
1 20000 348 42 42 0
1 20000 306 42 42 0
1 20000 0 42 42 0
1 20000 42 42 42 0
1 20000 84 42 42 0
2 21500 390 42 42 0
1 23000 264 42 42 0
2 23000 306 42 42 180
2 23126 390 42 42 0
2 23168 390 42 42 0
1 23294 264 42 42 0
2 23294 306 42 42 180
1 24500 390 42 42 0
4 24500 348 42 42 0
1 24500 222 42 42 0
1 24458 222 42 42 0
1 24542 222 42 42 0
2 25958 390 42 42 0
0 26000 348 42 42 0
2 26000 390 42 42 0
2 26042 390 42 42 0
2 26084 390 42 42 0
2 26126 390 42 42 0
0 26168 306 42 42 0
2 26168 390 42 42 0
2 26210 390 42 42 0
2 26252 390 42 42 0
2 26294 390 42 42 0
2 26336 390 42 42 0
0 26336 264 42 42 0
2 26378 390 42 42 0
0 26504 222 42 42 180
2 26504 180 42 42 0
2 28000 390 42 42 0
2 28500 390 42 42 0
2 29000 390 42 42 0
3 29500 390 42 42 0
2 29542 390 42 42 0
3 29584 390 42 42 0
1 31000 390 42 42 0
1 31042 390 42 42 0
1 31084 390 42 42 0
1 31126 390 42 42 0
1 31168 390 42 42 0
2 31168 348 42 42 0
2 31210 390 42 42 0
2 32500 390 42 42 0
2 32542 390 42 42 0
1 34000 264 42 42 0
2 34000 306 42 42 180
1 34042 264 42 42 0
2 34042 306 42 42 180
1 34084 264 42 42 0
2 34084 306 42 42 180
1 34126 264 42 42 0
2 34126 306 42 42 180
1 34168 264 42 42 0
2 34168 306 42 42 180
2 35000 390 42 42 0
